Verb_1,Verb_2,Annotator 1,"Annotator 2
","Annotator 3
"
returned,moved,1,1,1
living,moved,0,0,0
sold,moved,0,0,0
sentenced,assured,0,0,0
sentenced,pleading,0,0,0
pleaded,asked,0,0,0
pleaded,assured,0,0,1
pleaded,pleading,1,1,1
arguing,pleaded,0,0,0
testified,pleaded,0,0,0
pleading,pleaded,1,1,1
advised,pleaded,0,0,0
testified,learned,0,0,0
pleading,arguing,0,0,0
advised,learned,0,0,0
vacated,vacate,1,1,1
recommended,advised,1,1,1
affirmed,testified,0,1,0
affirmed,pleading,0,1,1
affirmed,advised,0,1,0
show,affirmed,0,1,0
demonstrated,affirmed,0,1,0
demonstrated,show,1,1,1
prejudiced,prejudiced,1,1,1
claims,applying,0,0,0
show,show,1,1,1
demonstrating,show,1,1,1
pleaded,applying,0,0,0
show,demonstrated,1,1,1
demonstrating,demonstrated,1,1,1
contends,claims,1,1,1
make,causing,1,1,1
showing,show,1,1,1
showing,demonstrating,1,1,1
accepted,accept,1,1,1
known,accept,0,1,0
contends,claims,1,1,1
show,show,1,1,1
show,demonstrating,1,1,1
accepting,accept,1,1,1
occur,going,0,0,0
lead,causing,1,1,1
lead,show,0,0,0
lead,going,0,0,1
contends,contends,1,1,1
show,showing,1,1,1
accepting,accepted,1,1,1
accepting,known,0,0,0
lead,make,0,0,0
lead,showing,0,0,0
makes,make,0,0,0
show,showing,1,1,1
makes,lead,0,0,0
urging,lead,0,1,0
show,show,1,1,1
show,lead,0,0,0
overlooks,forgets,0,1,0
turn,demands,0,0,0
plead,demands,0,0,0
involves,demands,0,0,0
plead,turn,0,0,0
says,plead,0,1,0
says,look,0,0,0
made,leading,0,0,0
made,throwing,0,1,0
discussing,leading,0,0,0
discussing,urges,0,0,0
upset,done,0,0,1
demonstrated,substantiate,0,0,1
confirmed,substantiate,0,1,1
reject,rejected,1,1,1
result,lead,0,1,1
holding,lead,0,0,0
holding,placed,0,1,0
delivered,holding,0,0,0
took,holding,0,1,0
joined,joined,1,1,1
made,took,0,0,1
goes,took,0,0,0
delivered,requested,0,0,0
worry,feared,0,1,1
carried,deport,0,0,0
accepting,accept,1,0,1
received,accept,0,0,0
received,carried,0,0,0
agrees,accepting,0,1,1
received,accepting,0,0,0
received,received,1,1,1
presented,received,0,0,0
opened,moved,0,0,0
set,moved,0,1,1
started,moved,0,0,0
working,moved,0,0,0
set,settled,0,1,0
started,opened,1,1,0
working,settled,0,0,0
decided,settled,0,0,0
running,settled,0,1,0
running,working,0,1,0
opened,opened,1,1,1
running,become,0,0,0
told,running,0,0,0
given,told,0,0,0
distribute,given,0,1,1
informed,advised,0,1,1
asked,pleaded,0,0,0
told,advised,1,1,1
pleading,advised,0,0,0
pleading,pleaded,1,1,1
told,informed,0,1,1
told,asked,0,1,0
pleading,asked,0,0,0
learned,told,0,0,0
learning,learned,1,1,1
serving,qualifies,0,0,0
arguing,pleaded,0,0,0
provided,qualifies,0,0,0
explained,testified,1,1,1
testified,assured,0,0,0
deported,deport,1,1,1
pleading,assured,0,0,0
advised,assured,0,1,0
go,according,0,0,0
known,thought,0,0,1
pleading,testified,0,0,0
advised,testified,0,0,0
received,thought,0,0,0
recommended,advised,0,1,1
received,acknowledged,0,0,0
received,known,0,0,0
applying,acknowledged,0,0,0
applying,pleading,0,0,0
giving,acknowledged,0,0,0
giving,advised,0,0,1
giving,set,0,0,0
found,received,0,0,0
received,received,1,1,1
found,concluded,1,1,1
show,giving,0,0,0
viewing,received,0,1,0
conceded,granted,0,0,0
establish,affirmed,1,0,0
show,affirmed,0,0,0
pleaded,affirmed,0,0,1
going,going,1,1,1
holding,required,0,0,0
holding,pleaded,0,0,0
charged,required,0,0,0
proceed,going,1,1,1
take,required,0,0,0
take,show,0,0,0
take,going,0,0,0
show,establish,0,1,1
show,explained,0,0,1
show,show,1,1,1
holding,stood,0,1,1
proceed,going,0,1,1
take,going,0,0,0
including,stood,0,0,0
including,holding,0,0,1
enters,take,0,1,1
demonstrate,show,0,1,1
show,take,0,0,0
show,show,0,1,1
fell,holding,0,0,0
assured,guarantees,0,1,1
raise,show,0,0,1
present,show,0,1,1
raising,raise,0,1,1
demonstrate,present,0,1,1
showing,raise,0,0,1
showing,present,0,0,1
led,showing,0,0,0
ask,raising,0,0,1
ask,showing,0,0,0
led,led,1,1,1
go,led,0,0,1
gone,led,0,0,1
took,led,0,0,0
apply,ask,0,0,0
accord,go,0,1,0
accord,gone,0,1,0
took,led,0,0,0
took,accept,0,0,0
took,go,0,1,0
took,ask,0,0,0
took,gone,0,1,0
consider,led,0,0,0
consider,took,0,0,0
held,apply,0,1,0
held,took,0,1,1
claims,apply,0,0,0
claims,took,0,0,0
deprived,took,0,0,0
accept,took,0,0,0
show,took,0,0,0
pleaded,apply,0,0,0
going,accord,0,0,0
going,took,0,1,0
held,consider,0,0,1
going,going,1,1,1
turns,held,0,1,0
turns,claims,0,0,0
turns,pleaded,0,0,0
turns,insisted,0,0,0
turns,going,0,0,0
alleges,pleaded,0,0,0
seek,going,0,0,0
suppress,held,0,0,0
obtained,held,0,0,0
affected,affected,1,1,1
pleading,turns,0,0,0
pleading,alleges,0,0,0
played,confronted,0,0,0
support,played,0,0,0
support,showing,0,0,1
placed,asking,0,0,0
plead,asking,0,1,0
plead,advised,0,0,0
argues,support,0,0,0
argues,plead,0,0,0
establish,support,0,0,1
accepted,support,0,0,0
insists,plead,0,0,1
let,support,0,0,1
responds,rejected,0,0,0
lost,placed,0,0,0
let,accepted,0,0,0
responds,accepted,0,0,0
found,known,0,0,0
contends,argues,0,1,1
show,establish,0,1,1
accepting,accepted,1,1,1
accepting,known,0,0,0
asks,show,0,0,0
adopt,accepting,0,0,0
show,show,1,1,1
show,lead,0,0,0
supported,show,0,0,1
carry,asks,0,0,0
showing,asks,0,0,0
showing,show,1,1,1
accepting,adopt,0,1,0
makes,makes,1,0,0
makes,supported,0,0,1
makes,carry,0,0,0
emphasized,showing,0,0,1
lose,forgets,0,0,0
lose,overlooks,0,0,0
facing,turn,0,0,0
looks,facing,0,1,0
looks,show,0,0,0
recognizes,accept,0,0,0
consider,weigh,0,1,1
look,recognizes,0,1,0
look,consider,0,0,0
carrying,involves,0,1,1
throwing,carrying,0,0,0
says,alleges,1,0,1
explained,pointing,1,1,0
see,known,0,0,0
see,lead,0,0,0
warned,see,0,0,0
demonstrated,testified,0,1,0
warned,asked,0,0,0
warned,testified,0,0,0
asked,asked,1,1,1
want,asked,0,0,0
plead,asked,0,0,0
plead,testified,0,1,0
inquired,asked,1,1,1
turned,asked,0,1,0
turned,gone,0,0,0
inquired,asked,1,1,1
affect,affect,1,1,1
responded,answered,1,1,1
turned,asked,1,1,0
turned,plead,0,0,0
placed,turned,0,0,0
make,returned,0,0,0
make,leaving,0,0,0
showing,leaving,0,0,0
going,returned,0,0,1
going,leaving,0,0,0
going,returned,0,0,1
going,leaving,0,0,0
result,leaving,0,0,0
agree,going,0,0,0
agree,going,0,0,0
taking,known,0,0,0
taking,accepting,0,1,1
taking,lead,0,0,1
make,lead,0,1,1
holding,taking,1,1,1
holding,pleading,0,0,0
holding,make,0,0,0
going,lead,0,0,1
going,backed,0,0,0
support,holds,0,0,1
concerning,holds,0,0,0
provide,support,0,0,0
affirm,support,1,0,1
apply,concerning,0,1,0
follow,apply,0,0,1
showing,announces,0,0,0
held,agree,0,0,1
establish,establish,1,1,1
establish,showing,0,1,1
show,establish,1,1,0
show,showing,1,1,1
made,held,0,1,1
made,establish,0,1,1
refers,held,0,0,0
defined,show,1,0,0
setting,made,0,1,0
setting,defined,0,0,0
extended,applying,0,0,0
held,proceed,0,0,1
held,applying,0,0,1
applies,applying,1,1,1
asserting,held,0,1,1
pleaded,held,0,0,0
pleaded,applies,0,0,0
going,extended,0,0,0
reflects,show,1,1,1
show,said,0,0,0
show,emphasizes,0,0,1
show,show,1,1,1
explain,reflects,0,0,0
explain,show,1,1,1
turn,gone,0,0,0
changed,gone,0,0,0
turn,went,0,0,0
turn,applies,0,0,1
changed,went,0,0,0
show,explain,0,1,1
gone,went,0,1,0
convicted,explain,0,0,0
convicted,applies,1,0,0
gone,turn,0,0,0
gone,changed,0,0,0
convicted,changed,0,0,0
gone,turn,0,0,0
gone,changed,0,0,0
obtained,changed,0,0,0
show,show,1,1,1
gone,gone,1,1,1
obtained,given,0,1,1
applying,convicted,0,0,0
confirm,show,0,1,1
applying,requires,0,0,0
confirm,show,0,1,1
analyzing,reviewing,1,0,1
turned,pleaded,0,0,0
go,failed,0,0,0
go,seek,0,0,0
focused,focus,1,1,1
took,turned,0,0,0
took,chosen,1,1,1
took,go,0,1,0
took,obtained,0,1,0
showing,communicate,0,0,0
show,communicate,0,0,0
ended,concluded,0,1,1
accepted,accepted,1,1,1
governing,requires,0,0,0
held,held,1,1,1
held,applies,0,0,0
made,include,0,0,0
concludes,held,1,1,0
concludes,ended,0,1,1
pleaded,held,0,0,0
going,ended,0,0,0
establish,made,1,1,1
establish,establish,1,1,0
showing,establish,0,0,1
going,erred,0,0,0
showing,establish,0,0,1
reaching,made,0,1,0
show,establish,0,0,1
going,erred,0,0,0
show,establish,0,0,0
show,showing,1,1,1
show,showing,1,1,1
pleaded,pleaded,1,1,1
pleaded,insisted,0,0,0
insisted,pleaded,0,0,0
insisted,insisted,1,1,1
going,going,1,1,1
explained,show,1,1,1
showing,show,1,1,1
make,reaching,0,1,1
establish,show,1,0,0
accepted,relies,0,0,1
considered,making,0,0,0
file,file,1,1,1
led,considered,0,0,0
observes,observed,1,1,1
meant,led,0,0,1
go,led,0,0,0
took,file,0,0,0
took,led,0,0,0
apply,took,0,0,1
apply,apply,1,1,1
explaining,instructed,1,0,1
said,instructed,1,1,0
said,pleaded,1,0,0
explained,instructed,1,1,1
comes,occurred,0,0,1
comes,made,0,0,0
attaches,securing,0,0,0
instructs,explaining,1,0,1
instructs,said,1,0,0
instructs,explained,1,0,1
presume,explaining,0,0,0
presume,explained,0,0,0
presuming,instructs,0,0,0
presuming,presume,1,1,1
show,instructs,0,0,0
show,presume,1,0,0
says,responds,1,1,0
make,made,1,1,1
recognized,show,0,0,0
recognized,says,0,0,0
recognized,make,0,0,0
give,says,0,1,0
give,make,0,1,0
give,recognized,0,0,0
stated,articulated,0,1,1
established,establish,1,1,0
set,establish,0,0,1
added,stated,0,0,1
applying,applying,1,1,1
applies,applying,1,1,1
applies,applying,1,1,1
applies,applying,1,1,1
apprise,added,1,0,0
applies,applying,1,1,1
goes,arise,0,0,0
applies,applying,1,1,1
applies,applying,1,1,1
leaves,abandons,0,0,1
applying,applying,1,1,1
leaves,goes,0,0,0
leaves,apprise,0,0,0
repeated,apprise,0,0,0
take,applies,0,0,0
take,goes,0,0,0
take,applies,0,0,0
take,accepts,1,0,1
take,applies,0,0,0
conclude,concludes,1,1,1
applying,applying,1,1,1
show,leaves,0,0,0
show,repeated,0,0,0
pleaded,applying,0,0,0
applying,take,0,0,0
think,conclude,0,0,0
show,take,0,0,0
purchased,take,0,0,0
applying,applying,1,1,1
find,made,0,1,0
suffered,find,0,0,0
accepted,suffered,0,0,0
accepted,accepted,1,1,1
gone,went,1,1,1
received,suffered,1,0,1
received,accepted,0,0,0
warned,shown,1,1,1
threatens,shown,0,0,0
explained,warned,1,1,1
explained,threatens,0,0,0
deals,warned,0,0,0
negotiated,warned,0,0,0
bear,deals,0,0,0
asserting,bear,0,0,0
prove,show,1,1,1
holds,bear,0,1,1
appear,show,1,0,1
demanding,holds,0,0,1
demanding,pleaded,0,0,0
limit,holds,0,0,0
holding,asserting,0,0,1
holding,holds,1,1,1
holding,pleaded,0,0,0
get,impose,0,0,0
given,suggests,0,0,0
given,get,0,0,0
holding,require,1,0,0
admitted,given,0,1,0
admitted,holding,0,0,1
see,holding,0,0,0
imposing,given,0,1,0
